id,category,country,income,region,human_labels,ml_captions,ml_labels
5d4bde22cf0b3a0f3f335a27,kitchens,Italy,4018.0,Europe,"table,light,chair,leaf,cutter,microwave,fruits,plate,dining room,table,chairs,kitchen,appliances,interior,home,pendant lighting,cooking,eating,red color,appliances,modern design aesthetic,dining table and chairs,spacious kitchen",a kitchen with a table and chairs in it,"sink,bottle,spoon,umbrella,microwave,vase,chair,book,knife,refrigerator,bowl,banana,apple,coaster,dining table,posted plant,oven"
5d4bde4dcf0b3a0f3f335e2b,kitchens,United States,898.0,The Americas,"kitchen,countertop,appliances,window,functional,interior,copy,cooking space,spacious,utensils,drawer,storage,stone flooring,useful machine,electronic items,kitchen,sink,water,tap,door",a kitchen with a sink and a stove,"sink,bottle,spoon,microwave,vase,chair,bowl,oven"
5d4bde7ccf0b3a0f3f33627f,kitchens,Serbia,1522.0,Europe,"plate,bowel,water,tap,light,kitchen,ishwar,home,sink,glasses,cabinets,plate,jug,knife,light,bowl",a kitchen with a sink and a stove,"sink,bottle,clock,spoon,vase,cup,bowl,scissors,wine glass"
5d4bde7fcf0b3a0f3f3362bf,kitchens,Mexico,3767.0,The Americas,"house,vessel,class,stove,door,cupboard,glass,sink,kitchen,oven,cooking,tray,switches,plate,bottle,kitchen,stove,cooking,vessels,appliances,interior,home,food reaction,countertop,culinary",a kitchen with a stove and a sink,"sink,bottle,vase,cup,bowl,tv,oven"
5d4bde91cf0b3a0f3f336463,kitchens,Netherlands,3150.0,Europe,"kitchen,fridge,sink,room,utensils,kitchen appliances,cooking tools,countertop,kitchenware,food prep,stove,cutting board,modern kitchen,utensils,ingredients,tails,kitchen,on board,teacup,plate",a kitchen with a refrigerator and a sink,"sink,bottle,spoon,clock,person,microwave,refrigerator,bowl,cup,banana,posted plant,oven"
5d4bdeadcf0b3a0f3f336723,kitchens,Serbia,1838.0,Europe,"kitchen,countertop,white,beautiful,room,handwashing,bicycle,mud house,alphabet chart,water container,children,clay walls,hygiene,rural setting,learning,kitchen,clean,gray colour,low light,fridge",a kitchen with a sink and a window,"sink,bottle,microwave,chair,cup,bowl,refrigerator,dining table,posted plant,oven"
5d4bded4cf0b3a0f3f336a57,kitchens,United States,800.0,The Americas,"light,house,micro oven,coffee filter,cup,oven,coffee maker,box,table,snacks,light,mixer,microwave,wire,bag",a small kitchen with a microwave and a microwave,"bottle,clock,person,microwave,chair,book,knife,fork"
5d4bded7cf0b3a0f3f336aa1,kitchens,Serbia,239.0,Europe,"table,white,total,man,vessels,one version,old table,chair,sum containers,bags,cooker,bedsheet,a glass,table,pipe",a small kitchen with a stove and a sink,"spoon,person,chair,cup,oven"
5d4bdee2cf0b3a0f3f336bed,kitchens,Cameroon,352.0,Africa,"women,gas stove,gas cylinder,steel was,plastic cans,bucket,women,kitchen,cooking,gas,bottle,kitchen,stand,lady,bottle,nice",a woman is cooking in a small kitchen,"bowl,bottle,person"
5d4bdee5cf0b3a0f3f336c49,kitchens,Cameroon,301.0,Africa,"cylinder,curtain,water cane,stove,calendar,water,gas,food,plates,bucket,rack,plastic,cylinder,stove,can,utensils",a kitchen with a lot of pots and pans,"bowl,bottle,knife,cup"
