WorkerId,imageID,Answer.tag1,Answer.tag10,Answer.tag2,Answer.tag3,Answer.tag4,Answer.tag5,Answer.tag6,Answer.tag7,Answer.tag8,Answer.tag9
734511,5ec4f91ef0611d7ddd7414a4.jpg,kitchen,,cooking,appliance,fridge,cabinets,storage,interior,home,
782846,5ec4f904f0611d7ddd7413b8.jpg,Kitchen,Cabinets,Oven,Refrigerator,Countertop,Window,Toaster,Water bottle,Cart,Sink
370532,5ec4f904f0611d7ddd7413b8.jpg,kitchen,,owen,handwasher,kitchen window,water tab,,,,
465922,5d4be684cf0b3a0f3f343d21.jpg,kitchen,plates,cutting plate,microvan,bridge,stand,knife,vessels,cupboard,jug
115430,5d4be684cf0b3a0f3f343d21.jpg,walls,,cubdoards,kictchen,stove,clothes,,,,
442322,6057cfc95ca47c77f6e754ad.jpg,Open kitchen,Clean kitchen,Simple kitchen,Smart kitchen,White kitchen,Cute kitchen,Compact kitchen,Small kitchen,Neat kitchen,Bright kitchen
370862,6057cfc95ca47c77f6e754ad.jpg,Kitchen,Cactus,Knives,Chimney,Hob,cupboard,sink,clean,drawers,Indoor plants
812292,6057cfc95ca47c77f6e754ad.jpg,kitchen,,cabinets,stove,counters,cooking,,,,
456987,5d4bde22cf0b3a0f3f335a27.jpg,TABLE,,LIGHT,CHAIR,LEAF,CUTTER,MICROWAVE,FRUITS,PLATE,
734511,5d4bde22cf0b3a0f3f335a27.jpg,dining room,eating,table,chairs,kitchen,appliances,interior,home,pendant lighting,cooking
494896,5d4bde22cf0b3a0f3f335a27.jpg,red color,,appliances,modern design aesthetic.,dining table and chairs,spacious kitchen,,,,
412556,5ed5b9e4b32361ceae9eab43.jpg,sink,,handcover,woodenboard,bottles,containers,knife,,,
129345,5ed5b9e4b32361ceae9eab43.jpg,Kitchen,Oven,Countertop,Sink,Rubber gloves,Glasses,Utensils,Knife block,Bottles,Mop
662000,5ec4f92cf0611d7ddd74151c.jpg,knife,,glass,oven,flower wash,cupboard,,,,
